category	status	added_lines	removed_lines	path
source, runtime and data	modified	16	16	data/articles.extracted.json
source, runtime and data	modified	20	20	data/articles.json
translations	modified	40	7	data/i18n/quote-form/da.json
translations	modified	40	7	data/i18n/quote-form/de.json
translations	modified	40	7	data/i18n/quote-form/en.json
translations	modified	363	6	data/i18n/quote-form/fr.json
translations	modified	40	7	data/i18n/quote-form/he.json
translations	modified	47	7	data/i18n/quote-form/nl.json
translations	modified	40	7	data/i18n/quote-form/pl.json
translations	modified	39	6	data/i18n/quote-form/pt.json
translations	modified	40	7	data/i18n/quote-form/sv.json
translations	modified	40	7	data/i18n/quote-form/zh.json
source, runtime and data	new	75	0	data/quotation-enquiry-routes.json
source, runtime and data	new	62	0	data/quotation-routes.json
documentation	new	402	0	docs/final-pre-push-files.tsv
documentation	new	158	0	docs/final-pre-push-verification.md
documentation	new	176	0	docs/quotation-form-changes.tsv
documentation	new	232	0	docs/quotation-form-commit-audit.md
documentation	new	92	0	docs/quotation-forms-correction.md
documentation	new	135	0	docs/quotation-route-inventory.tsv
source, runtime and data	modified	6	1	netlify/functions/lib/lead-classification.mjs
source, runtime and data	modified	2	2	netlify/functions/lib/quote-requests-sync.mjs
source, runtime and data	modified	33	2	netlify/functions/submission-created.mjs
source, runtime and data	modified	18	0	public/css/ar-quote-wizard.css
published HTML/pages (generated or maintained source)	modified	7	7	public/de/anwartschaftsversicherung-portugal/index.html
published HTML/pages (generated or maintained source)	modified	9	8	public/de/autoversicherung-portugal/index.html
published HTML/pages (generated or maintained source)	modified	10	9	public/de/berufshaftpflicht-freiberufler-portugal/index.html
published HTML/pages (generated or maintained source)	modified	6	6	public/de/berufshaftpflicht-therapeuten-wellness-portugal/index.html
published HTML/pages (generated or maintained source)	modified	13	12	public/de/hausversicherung-portugal/index.html
published HTML/pages (generated or maintained source)	modified	39	240	public/de/index.html
published HTML/pages (generated or maintained source)	modified	7	7	public/de/isv-befreiung-fahrzeugimport-portugal/index.html
published HTML/pages (generated or maintained source)	modified	8	6	public/de/krankenversicherung-portugal/index.html
published HTML/pages (generated or maintained source)	modified	8	7	public/de/lebensversicherung-portugal/index.html
published HTML/pages (generated or maintained source)	modified	6	6	public/de/nicht-legalisierte-immobilie-versichern-portugal/index.html
published HTML/pages (generated or maintained source)	modified	2	2	public/de/private-clients-portugal/index.html
published HTML/pages (generated or maintained source)	modified	1	1	public/de/private-clients/index.html
published HTML/pages (generated or maintained source)	modified	6	6	public/de/s1-formular-rentner-portugal/index.html
published HTML/pages (generated or maintained source)	modified	6	6	public/de/umzug-deutschland-portugal-versicherung/index.html
published HTML/pages (generated or maintained source)	modified	7	7	public/de/versicherung-algarve/index.html
published HTML/pages (generated or maintained source)	modified	7	7	public/de/versicherung-carvoeiro/index.html
published HTML/pages (generated or maintained source)	modified	7	7	public/de/versicherung-cascais/index.html
published HTML/pages (generated or maintained source)	modified	7	7	public/de/versicherung-comporta/index.html
published HTML/pages (generated or maintained source)	modified	7	7	public/de/versicherung-lagos/index.html
published HTML/pages (generated or maintained source)	modified	7	7	public/de/versicherung-lissabon/index.html
published HTML/pages (generated or maintained source)	modified	7	7	public/de/versicherung-portimao/index.html
published HTML/pages (generated or maintained source)	modified	7	7	public/de/versicherung-quinta-do-lago/index.html
published HTML/pages (generated or maintained source)	modified	1	1	public/de/versicherung-tavira/index.html
published HTML/pages (generated or maintained source)	modified	7	7	public/de/versicherung-vilamoura/index.html
published HTML/pages (generated or maintained source)	modified	6	6	public/de/vorerkrankungen-krankenversicherung-portugal/index.html
published HTML/pages (generated or maintained source)	modified	4	3	public/dk/ansvarsforsikring-portugal/index.html
published HTML/pages (generated or maintained source)	modified	3	2	public/dk/bilforsikring-portugal/index.html
published HTML/pages (generated or maintained source)	modified	8	7	public/dk/husforsikring-portugal/index.html
published HTML/pages (generated or maintained source)	modified	22	144	public/dk/index.html
published HTML/pages (generated or maintained source)	modified	3	1	public/dk/sundhedsforsikring-portugal/index.html
published HTML/pages (generated or maintained source)	modified	8	8	public/en/about/index.html
published HTML/pages (generated or maintained source)	modified	11	11	public/en/apartment-insurance-portugal/index.html
published HTML/pages (generated or maintained source)	modified	19	19	public/en/blog/20-years-tourism-hospitality-insurance/index.html
published HTML/pages (generated or maintained source)	modified	12	12	public/en/blog/adler-pro-saas-platform/index.html
published HTML/pages (generated or maintained source)	modified	9	9	public/en/blog/algarve-home-earns-income-personal-use-vs-al-cover/index.html
published HTML/pages (generated or maintained source)	modified	23	23	public/en/blog/allianz-april-medis-health-insurance-portugal-2026/index.html
published HTML/pages (generated or maintained source)	modified	12	12	public/en/blog/allianz-health-insurance-portugal/index.html
published HTML/pages (generated or maintained source)	modified	14	14	public/en/blog/allianz-home-insurance-portugal/index.html
published HTML/pages (generated or maintained source)	modified	9	9	public/en/blog/alojamento-local-insurance-requirements/index.html
published HTML/pages (generated or maintained source)	modified	14	14	public/en/blog/april-international-health-insurance-portugal/index.html
published HTML/pages (generated or maintained source)	modified	10	10	public/en/blog/art-collection-household-policy-portugal/index.html
published HTML/pages (generated or maintained source)	modified	19	19	public/en/blog/bars-restaurants-insurance-claims/index.html
published HTML/pages (generated or maintained source)	modified	17	17	public/en/blog/best-home-insurance-portugal-2026/index.html
published HTML/pages (generated or maintained source)	modified	5	5	public/en/blog/boat-insurance-portugal/index.html
published HTML/pages (generated or maintained source)	modified	13	13	public/en/blog/british-expats-brexit-insurance-portugal/index.html
published HTML/pages (generated or maintained source)	modified	9	9	public/en/blog/building-home-portugal-promoter-insurance-seguro-decenal/index.html
published HTML/pages (generated or maintained source)	modified	9	9	public/en/blog/business-insurance-policy-review/index.html
published HTML/pages (generated or maintained source)	modified	5	5	public/en/blog/canadian-driving-record-car-insurance-portugal/index.html
published HTML/pages (generated or maintained source)	modified	5	5	public/en/blog/canadian-non-resident-property-insurance-portugal/index.html
published HTML/pages (generated or maintained source)	modified	5	5	public/en/blog/canadian-provincial-health-coverage-portugal/index.html
published HTML/pages (generated or maintained source)	modified	18	18	public/en/blog/car-insurance-complete-guide/index.html
published HTML/pages (generated or maintained source)	modified	15	15	public/en/blog/car-insurance-cost-portugal/index.html
published HTML/pages (generated or maintained source)	modified	15	15	public/en/blog/car-insurance-expatriates/index.html
published HTML/pages (generated or maintained source)	modified	1	1	public/en/blog/car-insurance-spain-expats/index.html
published HTML/pages (generated or maintained source)	modified	6	6	public/en/blog/category/business-liability/index.html
published HTML/pages (generated or maintained source)	modified	7	7	public/en/blog/category/business-liability/page/2/index.html
published HTML/pages (generated or maintained source)	modified	7	7	public/en/blog/category/health-insurance/index.html
published HTML/pages (generated or maintained source)	modified	6	6	public/en/blog/category/health-insurance/page/2/index.html
published HTML/pages (generated or maintained source)	modified	7	7	public/en/blog/category/health-insurance/page/3/index.html
published HTML/pages (generated or maintained source)	modified	6	6	public/en/blog/category/holiday-lets-hospitality/index.html
published HTML/pages (generated or maintained source)	modified	6	6	public/en/blog/category/home-property/index.html
published HTML/pages (generated or maintained source)	modified	6	6	public/en/blog/category/home-property/page/2/index.html
published HTML/pages (generated or maintained source)	modified	6	6	public/en/blog/category/home-property/page/3/index.html
published HTML/pages (generated or maintained source)	modified	6	6	public/en/blog/category/home-property/page/4/index.html
published HTML/pages (generated or maintained source)	modified	6	6	public/en/blog/category/marine/index.html
published HTML/pages (generated or maintained source)	modified	7	7	public/en/blog/category/motor/index.html
published HTML/pages (generated or maintained source)	modified	6	6	public/en/blog/category/motor/page/2/index.html
