status	added_lines	removed_lines	path
modified	40	7	data/i18n/quote-form/da.json
modified	40	7	data/i18n/quote-form/de.json
modified	40	7	data/i18n/quote-form/en.json
modified	363	6	data/i18n/quote-form/fr.json
modified	40	7	data/i18n/quote-form/he.json
modified	47	7	data/i18n/quote-form/nl.json
modified	40	7	data/i18n/quote-form/pl.json
modified	39	6	data/i18n/quote-form/pt.json
modified	40	7	data/i18n/quote-form/sv.json
modified	40	7	data/i18n/quote-form/zh.json
new	75	0	data/quotation-enquiry-routes.json
new	62	0	data/quotation-routes.json
new	176	0	docs/quotation-form-changes.tsv
new	232	0	docs/quotation-form-commit-audit.md
new	92	0	docs/quotation-forms-correction.md
modified	6	1	netlify/functions/lib/lead-classification.mjs
modified	2	2	netlify/functions/lib/quote-requests-sync.mjs
modified	33	2	netlify/functions/submission-created.mjs
modified	18	0	public/css/ar-quote-wizard.css
modified	3	2	public/de/autoversicherung-portugal/index.html
modified	4	3	public/de/berufshaftpflicht-freiberufler-portugal/index.html
modified	8	7	public/de/hausversicherung-portugal/index.html
modified	22	223	public/de/index.html
modified	3	1	public/de/krankenversicherung-portugal/index.html
modified	3	2	public/de/lebensversicherung-portugal/index.html
modified	1	1	public/de/private-clients-portugal/index.html
modified	1	1	public/de/private-clients/index.html
modified	1	1	public/de/versicherung-tavira/index.html
modified	4	3	public/dk/ansvarsforsikring-portugal/index.html
modified	3	2	public/dk/bilforsikring-portugal/index.html
modified	8	7	public/dk/husforsikring-portugal/index.html
modified	22	144	public/dk/index.html
modified	3	1	public/dk/sundhedsforsikring-portugal/index.html
modified	8	8	public/en/apartment-insurance-portugal/index.html
modified	4	4	public/en/blog/20-years-tourism-hospitality-insurance/index.html
modified	2	2	public/en/blog/algarve-home-earns-income-personal-use-vs-al-cover/index.html
modified	4	4	public/en/blog/allianz-april-medis-health-insurance-portugal-2026/index.html
modified	2	2	public/en/blog/allianz-health-insurance-portugal/index.html
modified	2	2	public/en/blog/allianz-home-insurance-portugal/index.html
modified	2	2	public/en/blog/alojamento-local-insurance-requirements/index.html
modified	2	2	public/en/blog/april-international-health-insurance-portugal/index.html
modified	2	2	public/en/blog/art-collection-household-policy-portugal/index.html
modified	4	4	public/en/blog/bars-restaurants-insurance-claims/index.html
modified	2	2	public/en/blog/best-home-insurance-portugal-2026/index.html
modified	2	2	public/en/blog/british-expats-brexit-insurance-portugal/index.html
modified	2	2	public/en/blog/building-home-portugal-promoter-insurance-seguro-decenal/index.html
modified	4	4	public/en/blog/car-insurance-complete-guide/index.html
modified	2	2	public/en/blog/car-insurance-cost-portugal/index.html
modified	4	4	public/en/blog/car-insurance-expatriates/index.html
modified	2	2	public/en/blog/change-bank-home-insurance-portugal/index.html
modified	2	2	public/en/blog/coastal-clifftop-properties-algarve-subsidence-erosion-flood/index.html
modified	2	2	public/en/blog/d7-visa-health-insurance-valid-proof/index.html
modified	2	2	public/en/blog/documents-to-insure-property-portugal/index.html
modified	2	2	public/en/blog/domestic-staff-insurance-portugal/index.html
modified	2	2	public/en/blog/earthquake-cover-algarve-buildings/index.html
modified	2	2	public/en/blog/getting-insurance-portugal-before-nif-residency/index.html
modified	2	2	public/en/blog/golf-resort-properties-insurance-portugal/index.html
modified	2	2	public/en/blog/health-insurance-cost-portugal-2026/index.html
modified	4	4	public/en/blog/health-insurance-portugal-americans/index.html
modified	4	4	public/en/blog/health-insurance-portugal/index.html
modified	2	2	public/en/blog/hiscox-home-insurance-portugal/index.html
modified	4	4	public/en/blog/holiday-home-insurance-portugal/index.html
modified	2	2	public/en/blog/home-insurance-comporta-melides/index.html
modified	2	2	public/en/blog/home-insurance-cost-algarve-price-drivers/index.html
modified	2	2	public/en/blog/home-insurance-lagoa-carvoeiro/index.html
modified	2	2	public/en/blog/home-insurance-lagos/index.html
modified	4	4	public/en/blog/home-insurance-legalization/index.html
modified	2	2	public/en/blog/home-insurance-loule-almancil/index.html
modified	4	4	public/en/blog/home-insurance-multi-risk/index.html
modified	4	4	public/en/blog/home-insurance-protect-property/index.html
modified	2	2	public/en/blog/home-insurance-quinta-do-lago-vale-do-lobo/index.html
modified	2	2	public/en/blog/home-insurance-sagres-vila-do-bispo/index.html
modified	2	2	public/en/blog/home-insurance-sintra-cascais-villas/index.html
modified	2	2	public/en/blog/home-insurance-tavira/index.html
modified	2	2	public/en/blog/home-insurance-troia-setubal/index.html
modified	2	2	public/en/blog/home-staff-quarters-guest-annexes-outbuildings/index.html
modified	4	4	public/en/blog/individual-car-insurance/index.html
modified	2	2	public/en/blog/insurance-claim-portugal-no-portuguese/index.html
modified	2	2	public/en/blog/insurance-guide-americans-moving-to-portugal/index.html
modified	2	2	public/en/blog/insuring-property-portfolio-two-jurisdictions/index.html
modified	2	2	public/en/blog/international-health-cover-children-school-abroad/index.html
modified	2	2	public/en/blog/liberty-mutual-home-insurance-portugal/index.html
modified	2	2	public/en/blog/long-term-care-planning-foreign-residents-portugal/index.html
modified	4	4	public/en/blog/mandatory-insurance-hospitality-tourism/index.html
modified	2	2	public/en/blog/medical-evacuation-repatriation-cover-residents-travel-constantly/index.html
modified	2	2	public/en/blog/medis-health-insurance-portugal/index.html
modified	2	2	public/en/blog/mortgage-life-insurance-foreign-buyers-portugal/index.html
modified	2	2	public/en/blog/moving-to-portugal-pre-existing-condition-health-cover/index.html
modified	4	4	public/en/blog/pre-existing-conditions-health-insurance-portugal/index.html
modified	2	2	public/en/blog/private-health-insurance-pre-existing-condition-portugal/index.html
modified	2	2	public/en/blog/property-held-company-structure-insurance/index.html
modified	2	2	public/en/blog/property-title-risk-portugal/index.html
modified	2	2	public/en/blog/renovating-listed-heritage-property-portugal/index.html
modified	2	2	public/en/blog/retiring-algarve-health-cover-65-plus/index.html
modified	2	2	public/en/blog/second-home-rent-out-holiday-let-standard-home-cover/index.html
modified	2	2	public/en/blog/second-homes-empty-months-unoccupancy-clause-voids-cover/index.html
modified	2	2	public/en/blog/sns-vs-private-insurance-expats-portugal/index.html
modified	2	2	public/en/blog/solar-panels-home-batteries-ev-chargers-policy-modern/index.html
modified	2	2	public/en/blog/swimming-pools-jetties-private-access-liability-nobody-insures/index.html
modified	2	2	public/en/blog/travel-insurance-expats-portugal/index.html
modified	2	2	public/en/blog/water-damage-claim-portugal/index.html
modified	2	2	public/en/blog/zurich-home-insurance-portugal/index.html
modified	3	2	public/en/car-insurance-portugal/index.html
modified	8	8	public/en/earthquake-insurance-portugal/index.html
modified	1	1	public/en/expat-insurance-portugal/index.html
modified	8	8	public/en/flood-insurance-portugal/index.html
modified	3	1	public/en/health-insurance-quote/index.html
modified	8	7	public/en/home-insurance-quote/index.html
modified	27	234	public/en/index.html
modified	1	1	public/en/landlord-insurance-portugal/index.html
modified	1	1	public/en/landlord-liability-insurance-portugal/index.html
modified	1	1	public/en/non-resident-landlord-insurance-portugal/index.html
modified	1	1	public/en/private-clients/index.html
modified	4	3	public/en/professional-liability-insurance-portugal/index.html
modified	1	1	public/en/rental-property-insurance-portugal/index.html
modified	8	8	public/en/second-home-insurance-portugal/index.html
modified	8	8	public/en/unoccupied-home-insurance-portugal/index.html
new	68	0	public/fr/devis-auto/index.html
new	68	0	public/fr/devis-habitacao/index.html
new	68	0	public/fr/devis-profissional/index.html
new	69	0	public/fr/devis-saude/index.html
modified	16	31	public/fr/index.html
modified	3	2	public/il/car-insurance-portugal/index.html
